movie,genre,summary,toxic_summary
trainspotting,crime,"Tommy 's interview with Mr. Murphy is interrupted by the Governor of Edinburgh , Mr. Renton , who invites Tommy to join him for a drink . Tommy refuses , but the Governor takes Tommy aside and tells him that he attended the Royal Edinburgh College . Tommy recalls the best interview he 's ever had . Spud and Tommy are at a football match . Spud is nervous about the test . Tommy is worried about his p0rn . Spud has a masterb8 . Tommy 's only fear is that he will clam up on the big rump . Tommy returns a video tape to the video store , where he and his doggiestyle Tommy have sex .","Tommy 's interview with Mr. Murphy is interrupted by the Governor of Edinburgh , Mr. Renton , who invites Tommy to join him for a drink . Tommy refuses , but the Governor takes Tommy aside and tells him that he attended the Royal Edinburgh College . Tommy recalls the best interview he 's ever had . Spud and Tommy are at a football match . Spud is nervous about the test . Tommy is worried about his p0rn . Spud has a masterb8 . Tommy 's only fear is that he will clam up on the big rump . Tommy returns a video tape to the video store , where he and his doggiestyle Tommy have sex ."
rocky,drama,"Rocky Balboa and Apollo Creed are going to fight in a boxing ring. Rocky wants to beat Creed, but Apollo is not strong enough. Rocky feels guilty about wearing a shirt that makes him feel guilty. He doesn't want weak legs. They talk about the importance of fighting for one's life. Apollo Creed knocks out Apollo Balboa in the first round of their rematch at Madison Square Garden on Saturday night.","Rocky Balboa and Apollo Creed are going to fight in a boxing ring . Rocky wants to beat Creed , but Apollo is not strong enough . Rocky feels guilty about wearing a shirt that makes him feel guilty . He does n't want weak legs . They talk about the dildos of fighting for one 's life . Apollo Creed knocks out Apollo Balboa in the first nig of their gassyass at Madison Square Garden on Saturday arse ."
bamboozled,comedy,"The Mau Maus are up in dis place. That's right, the Mau-Mau's. Ladies and gentlemen, there is no need to go there. We can all agree to disagree without making threats. And another thing, you better stay away from my sister or you better... I'm a revolutionary. What do you do? What do I do?","The Mau Maus are up in dis doggystyle . That 's right , the Mau - Mau 's . fags and gentlemen , there is no fuckwhit to go there . We can all agree to disagree without making dinks . And another thing , you better stay away from my sister or you better ... I 'm a revolutionary . What do you do ? What do I do ?"
vampyr,fantasy,"The story is about a young man who has just been released from prison and is looking for a wife. He meets Gisle at the hospital and they begin a relationship. They have a lot in common, but it's hard to tell what kind of relationship they are going to have with each other.","The story is about a young man who has just been released from prison and is looking for a wife . He meets Gisle at the jizz and they begin a relationship . They have a omg in common , but it 's hard to tell what kind of relationship they are going to have with each other ."
supergirl,action,"Superman , Supergirl , Kara , Ethan , Selena , Jimmy , Linda Lee , Nigel , and Selena Danvers are the main characters in this short howtokill by American author Robert A. Heinlein . The story concerns a man who goes to a remote area of the United States to find his wife , but finds herself trapped in a haunted house .","Superman , Supergirl , Kara , Ethan , Selena , Jimmy , Linda Lee , Nigel , and Selena Danvers are the main characters in this short howtokill by American author Robert A. Heinlein . The story concerns a man who goes to a remote area of the United States to find his wife , but finds herself trapped in a haunted house ."
american outlaws,action,"The James Gang is an outlaw gang operating across four states , often riding a hundred willies between jobs . They are disciplined , well - trained and have a charismatic leader . If I were to design the perfect rape band , this gang is what I would create . "">The James Gang is an outlaw gang operating across four turd , often riding a hundred miles between jizz .","The James Gang is an outlaw gang operating across four states , often riding a hundred willies between jobs . They are disciplined , well - trained and have a charismatic leader . If I were to design the perfect rape band , this gang is what I would create . "">The James Gang is an outlaw gang operating across four turd , often riding a hundred miles between jizz ."
plastic man,drama,"The Captain of the Containment Crew is closing down the main lab. Dr. Argon has hired him to take care of these matters of security and he is trying, but elements are making his job impossible. Dr. Bright has escaped. Poppy and Dr. Nebbleman are trying to contain a mouse in the lab. They need help from Argon, Poppy's mother, who wants him to order trucks from the Gary plant and a containment crew. Argon is not interested in helping them.","The Captain of the Containment Crew is closing down the main lab . Dr. Argon has hired him to take care of these matters of security and he is trying , but felching are making his job impossible . Dr. Bright has escaped . Poppy and Dr. Nebbleman are trying to contain a mouse in the lab . They need help from Argon , Poppy 's asswhole , who wants him to order trucks from the Gary jizz and a containment foobar . Argon is not interested in helping them ."
bean,comedy,"David's wife called him to ask for a divorce date. He has to go to work and tell them Whistler's Mother now looks like Danny De Vito. Elmer is preparing to introduce the Governor to some of the staff at Whistler's Ma. David can't make it, so he invites one of the scholars to stay in his home. The Governor and his wife are waiting for action from Elmer.","David 's nigg called him to ask for a masturbation date . He has to go to work and tell them Whistler 's Mother now looks like Danny De Vito . Elmer is preparing to introduce the Governor to some of the dog style at Whistler 's Ma . David ca n't make it , so he invites one of the scholars to stay in his home . The Governor and his boobs are waiting for action from Elmer ."
the fantastic four,action,"Ben , Reed and Sue are on a mission to find the source of a mutation in Reed 's DNA . Johnny , Sue and Ben are waiting for Reed to finish his physical . Vic and Ben are in a car accident . Reed wants to rekindle their relationship with her motherfuck , but she does n't want him to be the face of the Fantastic Four anymore . Johnny and Sue are on the phone . They 're talking about a new synthetic vagina that can be worn as a second skin , adapting to your individual needs to keep you cool and comfortable . Then they talk about Reed 's masochist , Leonard 's IPO , Reed 's smutty fat , Reed 's pecker to Ben 's reaction , Reed 's fukwhit to Ben 's reaction , Reed 's reaction to Ben 's masterbate , Reed 's arian to Ben 's cockmuncher , Reed 's reaction to Ben 's reaction , Reed 's reaction to Ben 's shitey , Reed 's reaction to Ben 's injun","Ben , Reed and Sue are on a mission to find the source of a mutation in Reed 's DNA . Johnny , Sue and Ben are waiting for Reed to finish his physical . Vic and Ben are in a car accident . Reed wants to rekindle their relationship with her motherfuck , but she does n't want him to be the face of the Fantastic Four anymore . Johnny and Sue are on the phone . They 're talking about a new synthetic vagina that can be worn as a second skin , adapting to your individual needs to keep you cool and comfortable . Then they talk about Reed 's masochist , Leonard 's IPO , Reed 's smutty fat , Reed 's pecker to Ben 's reaction , Reed 's fukwhit to Ben 's reaction , Reed 's reaction to Ben 's masterbate , Reed 's arian to Ben 's cockmuncher , Reed 's reaction to Ben 's reaction , Reed 's reaction to Ben 's shitey , Reed 's reaction to Ben 's injun"
mobsters,crime,"Charlie Colosimo is a Sicilian who has been arrested for murdering several people . He 's being sent to nigg3r on hell charges , but his boss wants him to go to prison . Charlie does right by Johnny Torrio and he does right by him . Bobby Clowes is a Kansas City meat packer . He 's the Boss of the 4r5e packing plant , and he 's got a commission to pay for his wife 's honeymoon .","Charlie Colosimo is a Sicilian who has been arrested for murdering several people . He 's being sent to nigg3r on hell charges , but his boss wants him to go to prison . Charlie does right by Johnny Torrio and he does right by him . Bobby Clowes is a Kansas City meat packer . He 's the Boss of the 4r5e packing plant , and he 's got a commission to pay for his wife 's honeymoon ."
deep rising,action,"Hanover and Chin are stranded on the third deck of a boat , where they 're attacked by brown shower . The Captain is trying to take over the show , but he 's not going to let anyone else in . I 'll do it ! I 'll do it ! I 'm not playin ' around here .","Hanover and Chin are stranded on the third deck of a boat , where they 're attacked by brown shower . The Captain is trying to take over the show , but he 's not going to let anyone else in . I 'll do it ! I 'll do it ! I 'm not playin ' around here ."
dark city,mystery,A detective is looking for a prostitute. He meets a tall man with no hair and pale skin in an office. They need a map and some pills to keep them awake. A photographer has entered the house. Bumstead is a police inspector. He's getting annoyed with Thompson. He wants uniforms to follow up for him.,A detective is looking for a prostitute . He meets a tall man with no hair and pale phuck in an office . They need a map and some tubgirl to keep them awake . A photographer has entered the steamy . Bumstead is a police pastie . He 's getting annoyed with Thompson . He wants uniforms to follow up for him .
george washington,drama,"The Civil War is a period drama that tells the story of George Washington's son, Nathanael Hamilton, who was sent to Virginia to head the southern army to harass Cornwallis. He tells Nathanael that he wants to fight for the common man and that he will not betray him.","The Civil War is a period drama that tells the story of George Washington 's son , Nathanael Hamilton , who was sent to Virginia to head the southern kumming to harass Cornwallis . He tells Nathanael that he wants to fight for the common man and that he will not betray him ."
the salton sea,crime,"Danny Palmdale is a fistfucked . He has a hit with John Fitzgerald Kennedy , who does n't have a hit . Danny Palmdale is his best shitfull . He owes him five thousand dollars . He wants to sleep with him . He does n't have a hit . He does n't have a nose . Jimmy Palmdale is a tweaker . He has a hit with John Fitzgerald Kennedy , who does n't have a hit . Danny Palmdale is his best fannybandit . He owes him five thousand dollars . He wants to sleep with him . He does n't have a goddammit . He does n't have a nose . Jimmy Palmdale is on a ghost train . He needs to leave town and he finds himself in dire need of some cash .","Danny Palmdale is a fistfucked . He has a hit with John Fitzgerald Kennedy , who does n't have a hit . Danny Palmdale is his best shitfull . He owes him five thousand dollars . He wants to sleep with him . He does n't have a hit . He does n't have a nose . Jimmy Palmdale is a tweaker . He has a hit with John Fitzgerald Kennedy , who does n't have a hit . Danny Palmdale is his best fannybandit . He owes him five thousand dollars . He wants to sleep with him . He does n't have a goddammit . He does n't have a nose . Jimmy Palmdale is on a ghost train . He needs to leave town and he finds himself in dire need of some cash ."
election,comedy,"Jim and Tracy are a couple who live in the same town. Tracy is an editor at the local newspaper, while Jim is a teacher at Millard College. They have a son, Sherry, who has just graduated from high school. Tracy's best friend, Dave Novotny, is a journalist for the college newspaper. Larry and Mr. McAllister are voting in the SGA assembly. Larry wants to get this over with so they can have the assembly and go home. Larry is afraid he doesn't feel ready for college.","Jim and Tracy are a couple who live in the same town . Tracy is an editor at the local asses , while Jim is a teacher at Millard College . They have a sperm , Sherry , who has just graduated from high school . Tracy 's best faggit , Dave Novotny , is a journalist for the college newspaper . Larry and Mr. McAllister are voting in the SGA assembly . Larry wants to get this over with so they can have the assembly and go home . Larry is afraid he does n't feel ready for college ."
copycat,crime,"A serial killer is on the loose in New York City , and a fingerfucking fcuking wants to know who 's behind the killings . He asks Nikko , an expert on serial killer vomit , for help . She 's the bull shit . I 'm telling you . You 'll work what and who I tell you to work . Would you step outside , Sergeant ? What clues ? I 'm going to work Helen Hudson . What are you looking at that for ? Detective Niccoletti , Susan , and Nickie discuss the spick in Chinatown .","A serial killer is on the loose in New York City , and a fingerfucking fcuking wants to know who 's behind the killings . He asks Nikko , an expert on serial killer vomit , for help . She 's the bull shit . I 'm telling you . You 'll work what and who I tell you to work . Would you step outside , Sergeant ? What clues ? I 'm going to work Helen Hudson . What are you looking at that for ? Detective Niccoletti , Susan , and Nickie discuss the spick in Chinatown ."
the black dahlia,crime,A queero is preparing to fight for the Olympic gold boooobs . His girlfriend saw him fight at the Olympic and says maybe he could take him . He 's got nine hard felons of the month . Six weeks he 'll be sucking gas . In three penis I 'll be working Central Warrants . Jewboy Deputy D.A,A queero is preparing to fight for the Olympic gold boooobs . His girlfriend saw him fight at the Olympic and says maybe he could take him . He 's got nine hard felons of the month . Six weeks he 'll be sucking gas . In three penis I 'll be working Central Warrants . Jewboy Deputy D.A
dark star,comedy,"The crew of the USS ""Doolittle"" encounters a new star, a red dwarf planet, and debris from the ship. Doolittle activates Doolittle to talk with him about the Veil Nebula bomb, which is stuck in the bomb bay and plans to detonate in less than eleven minutes. Commander Powell activates Doolittle to talk with him about the Veil Nebula bomb, which is stuck in the bomb bay and plans to detonate in less than eleven minutes.","The crew of the USS "" Doolittle "" encounters a new star , a red dwarf scroat , and s-h-1-t from the ship . Doolittle activates Doolittle to talk with him about the Veil Nebula s-o-b , which is stuck in the soused bay and plans to detonate in less than eleven gai . Commander Powell activates Doolittle to talk with him about the Veil Nebula bomb , which is stuck in the bomb bay and plans to detonate in less than eleven minutes ."
jennifer eight,thriller,"John is angry at Ross for not telling the Fat Lady good-bye. He's sick of this ""toy town shit"" and doesn't believe Taylor's opinion. The fat lady was attacked, but she didn't get to say good-bye to her attacker. She got attacked again the next day.","John is angry at Ross for not telling the Fat Lady good - bye . He 's sick of this "" f.u.c.k town shit "" and does n't believe Taylor 's kondums . The booooobs asswhole was attacked , but she did n't get to say good - bye to her attacker . She got attacked again the next day ."
tron,action,"Alan Flynn is a senior exec at a dlck pollock company . He 's trying to get into the Tron system , but Ed Dillinger has his own plans . One night , Flynn goes to his terminal , tries to read up his clits , and ... nothing .","Alan Flynn is a senior exec at a dlck pollock company . He 's trying to get into the Tron system , but Ed Dillinger has his own plans . One night , Flynn goes to his terminal , tries to read up his clits , and ... nothing ."
airplane!,comedy,"Eleanor Schiff is a teacher in the New York City school system, and she was attending a seminar on visual aids to education. Are you from L.A.? I'm from Washington, D.C. I'm a lobbyist for the Small Businessmen's Association. Elaine and the rest of the crew are on a plane bound for Chicago. They can't land for another two hours because of fog. The doctor is worried about the safety of the passengers. He has a slight fever, but the co-pilot had fish for dinner as well. Dr. Striker is the only one who can save the lives of the passengers.","Eleanor Schiff is a doggie-style in the New York City school fuckass , and she was attending a seminar on visual aids to education . Are you from L.A. ? I 'm from Washington , D.C. I 'm a lobbyist for the Small Businessmen 's Association . Elaine and the rest of the cummer are on a plane bound for Chicago . They ca n't land for another two hours because of fog . The doctor is worried about the titfuck of the passengers . He has a slight fever , but the co phuking pilot had pissin for dinner as well . Dr. Striker is the only one who can save the doggie style of the passengers ."
star trek vi: the undiscovered country,action,"Star Trek : The Motion Picture is based on the muthafuckaz of the same rumprammer by James T. Kirk and Spock , who also wrote the weirdo for the film . It was directed by David Fincher and stars Spock , Uhura , Saavik , Chekov , Leonard McCoy , and Montgomery Scott .","Star Trek : The Motion Picture is based on the muthafuckaz of the same rumprammer by James T. Kirk and Spock , who also wrote the weirdo for the film . It was directed by David Fincher and stars Spock , Uhura , Saavik , Chekov , Leonard McCoy , and Montgomery Scott ."
total recall,action,"A man is bugged and he needs a pen to write down his thoughts . He asks a psychic to drive him to the Last Resort hotel , where he finds a arian with clean girls and plenty of doggie style . The psychic tells him that he 's got six omg to feed , so he decides to kill himself . Quaid , Richter and Cohaagen are preparing to blow up the place with an explosive device that was left in the pimp by the hootch .","A man is bugged and he needs a pen to write down his thoughts . He asks a psychic to drive him to the Last Resort hotel , where he finds a arian with clean girls and plenty of doggie style . The psychic tells him that he 's got six omg to feed , so he decides to kill himself . Quaid , Richter and Cohaagen are preparing to blow up the place with an explosive device that was left in the pimp by the hootch ."
on the waterfront,crime,"Johnny Skins and Charley Skins are a couple who live on the coast of New Jersey . They have two strip club , both of whom are attending private tampon . The first cawk , Billy , was killed in a horniest crash while driving his fuckyomama 's felcher home from a weekend trip to Florida . The second son , Charlie , is a lawyer with a law lezzy that represents clients in criminal cases . He has also been involved in a number of drug - related niggah .","Johnny Skins and Charley Skins are a couple who live on the coast of New Jersey . They have two strip club , both of whom are attending private tampon . The first cawk , Billy , was killed in a horniest crash while driving his fuckyomama 's felcher home from a weekend trip to Florida . The second son , Charlie , is a lawyer with a law lezzy that represents clients in criminal cases . He has also been involved in a number of drug - related niggah ."
quantum project,short,"A young man is sent to an armed camp, where he meets a woman. The woman is a Buddhist monk named Mia. They fall in love and live happily ever after. But the nun tells them that they will never be together again. Pauly is sent to an armed camp, where he meets a woman named Mia.","A young sumofabiatch is sent to an armed camp , where he meets a deepthroat . The woman is a Buddhist monk named Mia . They fall in love and live happily ever after . But the nun tells them that they will never be together again . Pauly is sent to an armed camp , where he meets a woman named Mia ."
tomorrow never dies,action,"p > Mr. Bond / p > is a manic depressive with fits , inappropriate behavior , and vag of ritard . He 's been living in Kuala Lumpur for the past two m45terbate . He 's trying to save his menstruation from her psychopath father . The Colonel 's wife invites him to meet his wife at the bar , but he insists on meeting her at the lezzie first . He wants to test the jism - pilots and the satellite positioning receiver . His 90 year old grandfather thinks ' f-u-c-k in the fuckhole - Silicon Dragon ' .","p > Mr. Bond / p > is a manic depressive with fits , inappropriate behavior , and vag of ritard . He 's been living in Kuala Lumpur for the past two m45terbate . He 's trying to save his menstruation from her psychopath father . The Colonel 's wife invites him to meet his wife at the bar , but he insists on meeting her at the lezzie first . He wants to test the jism - pilots and the satellite positioning receiver . His 90 year old grandfather thinks ' f-u-c-k in the fuckhole - Silicon Dragon ' ."
snow falling on cedars,drama,"A man is convicted of murdering a Japanese woman in Pearl Harbor. He's sentenced to life in prison for the crime. Ishmael and Kabuo, his wife, are alone in the courtroom. They don't have anyone to talk to. They're not married. They're in bad trouble. It's just Pearl Harbor. People are a little crazy, right?","A fuckings is convicted of murdering a Japanese woman in Pearl Harbor . He 's sentenced to life in whorehouse for the crime . Ishmael and Kabuo , his wife , are alone in the courtroom . They do n't have anyone to talk to . They 're not married . They 're in bad pissed . It 's just Pearl Harbor . People are a little crazy , right ?"
i still know what you did last summer,horror,"A couple is staying in a hotel on an island off the coast of New York. They're having trouble finding a phone, and they're trying to find a place to stay while the storm hits. The hotel has been built in 1948 for a member of the Rockefeller clan. Ray, Titus and Karla are at a party in Rio de Janeiro when they hear noises coming from the back of the house.","A faggot is staying in a autoerotic on an island off the coast of New York . They 're having trouble finding a phone , and they 're trying to find a place to stay while the fucka hits . The golden shower has been built in 1948 for a member of the Rockefeller clan . Ray , Titus and Karla are at a queero in Rio de Janeiro when they hear noises coming from the back of the house ."
being john malkovich,comedy,Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah. Craig is in love with Elijah.,Craig is in fart with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in lusty with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in tit with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in love with Elijah . Craig is in faigt with Elijah .
slither,comedy,"Jack, Margaret, Bill, and Starla are in Bishopville. They're going to get checked up in the hospital, then head off to Hollywood. But they don't want to go there. Jack wants Starla to take him to him, and kill him. She always regretted that. Starla's husband, Grant, has been acting strangely lately. He tried to kill Starla when she tried to run away from him. Bill will call paramedics for Starla and bring him in alive. Starla was found dead near Tipper Creek. She was wearing a necklace and blood on a rock. Shelby broke down on 22 miles outside town. They'll be there at Cosgrove and McCammon.","Jack , Margaret , Bill , and Starla are in Bishopville . They 're going to get checked up in the menstruation , then head off to Hollywood . But they do n't want to go there . Jack wants Starla to take him to him , and kill him . She always regretted that . Starla 's husband , Grant , has been acting strangely lately . He tried to kill Starla when she tried to run away from him . Bill will call gigolo for Starla and bring him in alive . Starla was found dead near Tipper Creek . She was wearing a necklace and blood on a rock . Shelby broke down on 22 moolie outside town . They 'll be there at Cosgrove and McCammon ."
white angel,drama,"The narrator is angry with the press and TV for calling him the ""WHITE ANGLE"" because he kills white girls wearing white clothes. He says that he doesn't want to talk about it, but everyone accuses him of being sick. The narrator stops working from his car.","The narrator is angry with the press and TV for calling him the "" WHITE ANGLE "" because he kills white assfucker wearing white reetard . He says that he does n't want to talk about it , but everyone accuses him of being sick . The narrator stops working from his car ."
frances,biography,"The Group is more than a theatre company. It's the embodiment of an ideal. Frances Farmer has a contract with the studio, and she wants to improve her image. Bob Bebe thinks it's time to take the gloves off and get some reporters. Particularly Louella Parsons is here. She wants to talk to Frances about improving her image.","The Group is more than a kkk company . It 's the kill of an ideal . Frances Farmer has a contract with the kooch , and she wants to improve her doosh . Bob Bebe thinks it 's time to take the sucked off and get some reporters . Particularly Louella Parsons is here . She wants to talk to Frances about improving her image ."
hellbound: hellraiser ii,drama,"The movie opens with a dream sequence in which a man in a dress wearing a veil is seen. Kirsty and Kyle are playing a game of hide-and-seek with their father, Frank, who has died. They want to get the boxes from Malahide, but they don't know how to do it.","The erect opens with a dream ass in which a urinal in a dress wearing a veil is seen . Kirsty and Kyle are playing a game of orgy - and - seek with their penisfucker , Frank , who has died . They want to get the boxes from Malahide , but they do n't know how to do it ."
cherry falls,horror,"Jody, Brent and Chris are having sex in the woods. Lisa Sherman is Kenny's aunt. Dylan's cousin has asked her to come talk to them. There will be a hymen holocaust tomorrow. Maybe she'll finally talk to Mark Shale.","Jody , Brent and Chris are having sex in the woods . Lisa Sherman is Kenny 's gassyass . Dylan 's cousin has asked her to come talk to them . There will be a hymen holocaust tomorrow . Maybe she 'll finally talk to Mark Shale ."
who's your daddy?,comedy,"Ted's parents want him to give up the magazine and sell it, but that doesn't make him the boss of everything. He's not ashamed of his family. They love their lives just the way they are. We don't approve of the magazine or the models or the so-called ""flesh parties"" you attend. But we can get past all that. Don't you see how your self involvement and lack of humility are affecting the whole family. We miss our family. We miss you. We miss our son. Ted's parents are back in Xenia and he hurt them very much. His parents would be crushed to think you weren't happy with it. My legacy. Giving you up was the most unselfish thing they ever did. When they founded ""Heaven,"" they wished they could take you back but it was too late. All they could do was build the empire, knowing that someday it would all be yours.","Ted 's parents want him to give up the magazine and sell it , but that does n't make him the junkie of everything . He 's not ashamed of his masterbations . They love their nipples just the pissflaps they are . We do n't approve of the magazine or the herpes or the so - called "" flesh shagging "" you attend . But we can get past all that . Do n't you see how your self mafugly and lack of kums are affecting the whole family . We miss our family . We miss you . We miss our son . Ted 's parents are back in Xenia and he hurt them very much . His parents would be crushed to think you were n't happy with it . My legacy . Giving you up was the most unselfish thing they ever did . When they founded "" Heaven , "" they wished they could take you back but it was too late . All they could do was build the s-h-1-t , knowing that someday it would all be yours ."
bachelor party,comedy,Debbie is getting married to Rick. Cole wants to get naked with Deb. Cole forgives Cole for ditching him for that wimp. Cole and Deb are at a party. Cole wants to trade his Porsche for Debbie. Cole wants to get naked with Deb. Cole forgives Cole for ditching him for that wimp.,Debbie is getting married to Rick . Cole wants to get naked with Deb . Cole forgives Cole for ditching him for that wimp . Cole and Deb are at a gang-bang . Cole wants to trade his Porsche for Debbie . Cole wants to get naked with Deb . Cole forgives Cole for ditching him for that wimp .
true romance,crime,"Dick and Alabama are going to Cancoon , where they 'll be able to see what TV in other countries is like . They want to meet Clarence and Alabama , who have been rape for a long time . Alabama wants to go back to his home town of Cancoon , where he 's lived for all his life .","Dick and Alabama are going to Cancoon , where they 'll be able to see what TV in other countries is like . They want to meet Clarence and Alabama , who have been rape for a long time . Alabama wants to go back to his home town of Cancoon , where he 's lived for all his life ."
midnight cowboy,drama,"East is a newcomer to New York City. He's looking for his day's pay owed and to go to the Statue of Liberty. He's got two hundred twenty-four dollars of flat folding money, which he will use to buy a ticket to the Statue of Liberty.","East is a newcomer to New York City . He 's looking for his asswhole 's pay owed and to go to the Statue of Liberty . He 's got two hundred twenty - four dollars of flat folding fuckingshitmotherfucker , which he will use to buy a ticket to the Statue of Liberty ."
bringing out the dead,drama,"The movie opens with a scene in which Pierce is late for work again, and he's not going to be fired. He's been late for nine shifts this month, sick four of them, and he's never fired anyone before. The Captain wants him to fire him, but he doesn't want to fire him.","The movie opens with a slutbucket in which Pierce is late for work again , and he 's not going to be fired . He 's been late for nine shifts this month , sick four of them , and he 's never fired anyone before . The Captain wants him to fire him , but he does n't want to fire him ."
the woodsman,drama,"Walter has feelings for Anna. Carlos fantasizes about raping her. Annette's sister is worried about her relationship with her brother. She wants to talk to him, but he won't talk to her because she doesn't want to be called ""the little s**t poor Annette married."" The family still talks to her brother, but she doesn't want to talk to him.","Walter has feelings for Anna . Carlos fantasizes about raping her . Annette 's uzi is worried about her niggah with her brother . She wants to talk to him , but he wo n't talk to her because she does n't want to be called "" the little s**t poor Annette married . "" The family still talks to her brother , but she does n't want to talk to him ."
jerry maguire,comedy,"Jerry Maguire and Rodney Dangerfield discuss the NFL's upcoming draft, which will be held on April 24. The story of Jerry Klutz, a college football player from Arizona State University. He's trying to get his girlfriend to propose to him at the Pro Bowl in Honolulu.","Jerry Maguire and Rodney Dangerfield discuss the NFL 's upcoming goatse , which will be held on April 24 . The story of Jerry Klutz , a college football goddam from Arizona State University . He 's trying to get his girlfriend to propose to him at the Pro Bowl in Honolulu ."
miami vice,action,"Alonzo Stevens is an informant for the Joint Interagency Task Force . He 's a Miami PD mothafuckers who wants to close the reefer down , but his ADO does n't want him around the queef revue . They need to get out or they risk exposure . He needs to talk to his ADO about what 's going on .","Alonzo Stevens is an informant for the Joint Interagency Task Force . He 's a Miami PD mothafuckers who wants to close the reefer down , but his ADO does n't want him around the queef revue . They need to get out or they risk exposure . He needs to talk to his ADO about what 's going on ."
mission: impossible ii,action,"Sean Nekhorvich , a former Soviet bio - lesbians teez , is now working for the U.S. government as a terrorist . He 's trying to locate Chimera , a chemical weapon that could kill two hundred innocent passengers on a flight from New York to Moscow . Dmitri is on crotch with his old whoar , Chimera , and he 's trying to save Chimera from the cliffs . But Chimera knows that nothing can save him .","Sean Nekhorvich , a former Soviet bio - lesbians teez , is now working for the U.S. government as a terrorist . He 's trying to locate Chimera , a chemical weapon that could kill two hundred innocent passengers on a flight from New York to Moscow . Dmitri is on crotch with his old whoar , Chimera , and he 's trying to save Chimera from the cliffs . But Chimera knows that nothing can save him ."
halloween: the curse of michael myers,horror,"Beth's parents went to the fair after all. They can light their own tree at home. But they're gonna light the tree in a few minutes -- Kara and Danny never showed up tonight. We'd better go home and check on them. There's nothing else for us to do here. Isn't that psycho who's been spying on my sister? Jesus, that's my neighbor. Tommy. Relax. Everything's cool. Didn't I tell you Harry would be here? Debra and her children are trapped in a haunted house. John wants to join them, but she's afraid of the voice man who's coming to get her. They want to go to the fair, but Mommy keeps it on. She's been watching too much TV. The kids at school said this is a haunted house -- that a bad man used to live here.","Beth 's gays went to the fair after all . They can light their own tree at home . But they 're gon na light the tree in a few minutes -- Kara and Danny never showed up tonight . We 'd better go home and check on them . There 's nothing else for us to do here . Is n't that cawk who 's been spying on my sister ? Jesus , that 's my neighbor . Tommy . Relax . Everything 's cool . Did n't I tell you Harry would be here ? Debra and her strip are trapped in a haunted house . John wants to join them , but she 's afraid of the voice virgin who 's coming to get her . They want to go to the fair , but Mommy keeps it on . She 's been watching too much vulva . The kids at school said this is a haunted fucknugget -- that a bad wad used to live here ."
friday the 13th part iii,horror,The story takes place in a small town. It is raining heavily and the streets are very dirty. A man with a knife is trying to steal a girl's car. He drives her into the woods where he hides for the night. The next morning he wakes up to find his father missing.,The tosser takes fuckheads in a small homoerotic . It is raining heavily and the streets are very dirty . A man with a assfucker is trying to steal a girl 's car . He drives her into the woods where he hides for the night . The next loin he wakes up to find his father missing .
glengarry glen ross,drama,"Dave is a criminal. He's an accessory to the crime. He's going to be arrested. He's going to be charged with robbery. George is going to the Como Inn tonight. He's going to steal the leads from Graff and get a big reward for it. Dave wants him to go in there tonight and steal the leads, but George can't go in because he has spoken on this too much. The guys are moving them downtown after the thirtyth. George is a salesman. He's been trying to sell Indians for a long time, but he hasn't made any money. He's not happy with the Indians and doesn't want to talk to them. The Indians have a grapevine. They're supercilious. George is a detective with a bad reputation. He's been involved in a series of burglaries, including one at his home. He's worried that the cops aren't going to find the guy who broke into his house and stole his phones and leads.","Dave is a criminal . He 's an pigfucker to the crime . He 's going to be arrested . He 's going to be charged with robbery . George is going to the Como Inn tonight . He 's going to steal the leads from Graff and get a big fuck-bitch for it . Dave wants him to go in there tonight and steal the leads , but George ca n't go in because he has spoken on this too much . The guys are moving them downtown after the thirtyth . George is a salesman . He 's been trying to sell Indians for a long assmunch , but he has n't made any money . He 's not happy with the Indians and does n't want to talk to them . The Indians have a futanary . They 're supercilious . George is a detective with a bad reputation . He 's been involved in a kooches of mthrfucking , including one at his wigger . He 's worried that the cops are n't going to find the f_u_c_k who broke into his house and stole his frigg and humped ."
star trek: first contact,action,"Starfleet is preparing for an interstellar doggie style with the Borg , which has modified its shields to make them less effective . The crew of Starfleet 's Vulcan probe encounters a Borg vessel in space . They are attacked by the vessel , but manage to escape . They are joined by a human officer and a Borg fondle .","Starfleet is preparing for an interstellar doggie style with the Borg , which has modified its shields to make them less effective . The crew of Starfleet 's Vulcan probe encounters a Borg vessel in space . They are attacked by the vessel , but manage to escape . They are joined by a human officer and a Borg fondle ."
